date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:38:48	293983/293983	---MCZ	200	added ('OK')	text/html	etag:%22267071-1760254402;gz%22	https://tlchandymanllc.com/	C:/Users/jerom/Downloads/HANDYMAN/tlchandymanllc.com/index.html	(from )
17:38:48	158/158	---M-Z	200	added ('OK')	text/plain	etag:%22165-68b85257-b30b65ad1f9d46ea;gz%22	https://tlchandymanllc.com/robots.txt		(from )
17:38:49	43154/43154	---M-Z	200	added ('OK')	text/css	etag:%22a892-6781fb22-c6557ae8c5b55310;gz%22	https://tlchandymanllc.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.8.10	C:/Users/jerom/Downloads/HANDYMAN/tlchandymanllc.com/wp-content/themes/astra/assets/css/minified/main.min5111.css	(from https://tlchandymanllc.com/)
17:38:49	2969/2969	---M-Z	200	added ('OK')	text/css	etag:%22b99-68424e6d-dd8a24d9e8a001fd;gz%22	https://tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/offcanvas.css?ver=1.6.1	C:/Users/jerom/Downloads/HANDYMAN/tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/offcanvas51a2.css	(from https://tlchandymanllc.com/)
17:38:49	304/304	---M-Z	200	added ('OK')	text/css	etag:%22130-68424e6d-80203963a64a75d3;gz%22	https://tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/navmenu.css?ver=1.6.1	C:/Users/jerom/Downloads/HANDYMAN/tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/navmenu51a2.css	(from https://tlchandymanllc.com/)
17:38:49	37894/37894	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c64a7f357de16b97bbd544d3ff060f4d%22	https://tlchandymanllc.com/feed/	C:/Users/jerom/Downloads/HANDYMAN/tlchandymanllc.com/feed/index.html	(from https://tlchandymanllc.com/)
17:38:49	147/147	---M--	200	added ('OK')	text/css	etag:%2293-68424e6d-f8d4e154811dde0c;;;%22	https://tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/headerinfo.css?ver=1.6.1	C:/Users/jerom/Downloads/HANDYMAN/tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/headerinfo51a2.css	(from https://tlchandymanllc.com/)
17:38:50	7732/7732	---M-Z	200	added ('OK')	text/css	etag:%221e34-68424e6d-5d54c4b029d64508;gz%22	https://tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/rkit-navmenu.css?ver=1.6.1	C:/Users/jerom/Downloads/HANDYMAN/tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/rkit-navmenu51a2.css	(from https://tlchandymanllc.com/)
17:38:50	640/640	---M-Z	200	added ('OK')	text/css	etag:%22280-68424e6d-6f41de38a9db44bb;gz%22	https://tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/search.css?ver=1.6.1	C:/Users/jerom/Downloads/HANDYMAN/tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/search51a2.css	(from https://tlchandymanllc.com/)
17:38:50	110/110	---M--	200	added ('OK')	text/css	etag:%226e-68424e6d-14862d861a1ce2b6;;;%22	https://tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/site_logo.css?ver=1.6.1	C:/Users/jerom/Downloads/HANDYMAN/tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/site_logo51a2.css	(from https://tlchandymanllc.com/)
17:38:50	3175/3175	---M-Z	200	added ('OK')	application/rss+xml	etag:%2290f4b5fb979d4acd7476fa21389824f9%22	https://tlchandymanllc.com/comments/feed/	C:/Users/jerom/Downloads/HANDYMAN/tlchandymanllc.com/comments/feed/index.html	(from https://tlchandymanllc.com/)
17:38:50	3417/3417	---M-Z	200	added ('OK')	text/css	etag:%22d59-68424e6d-16d2723e532bb4ca;gz%22	https://tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/rkit-blog-post.css?ver=1.6.1	C:/Users/jerom/Downloads/HANDYMAN/tlchandymanllc.com/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/rkit-blog-post51a2.css	(from https://tlchandymanllc.com/)
